SDRs per Currency unit and Currency units per SDR (1)
last five days
SDRs per Currency unit (2)

Currency	November 01, 2019	October 31, 2019	October 30, 2019	October 29, 2019	October 28, 2019
Chinese yuan		0.1030090000	0.1029250000	0.1030180000	0.1029870000
Euro		0.8086180000	0.8067340000	0.8069560000	0.8060500000
Japanese yen		0.0066613800	0.0066739700	0.0066744500	0.0066846500
U.K. pound		0.9395090000	0.9366860000	0.9346730000	0.9328800000
U.S. dollar	0.7246290000	0.7249580000	0.7263950000	0.7273150000	0.7270230000
Algerian dinar		0.0060694100	0.0060742100	0.0060736100	0.0060725000
Australian dollar		0.5021060000	0.4985980000	0.4985020000	0.4953930000
Botswana pula		0.0661887000	0.0670463000	0.0672766000	0.0671042000
Brazilian real		0.1810810000	0.1807850000	0.1821020000	0.1827330000
Brunei dollar		0.5328610000	0.5330560000	0.5337310000	
Canadian dollar			0.5523080000	0.5562640000	0.5568500000
Chilean peso			0.0010000800	0.0010040700	0.0010015900
Colombian peso		0.0002138560	0.0002148530	0.0002150430	0.0002141290
Czech koruna		0.0316977000	0.0316250000	0.0315922000	
Danish krone		0.1082370000	0.1079840000	0.1080180000	0.1078940000
Indian rupee		0.0102119000	0.0102699000	0.0102508000	
Israeli New Shekel		0.2054290000	0.2058940000	0.2060380000	0.2060140000
Korean won		0.0006204710	0.0006227130	0.0006218490	0.0006191650
Kuwaiti dinar		2.3906300000	2.3930000000	2.3960300000	2.3950700000
Malaysian ringgit		0.1735390000	0.1735920000	0.1739360000	
Mauritian rupee		0.0199522000	0.0199703000	0.0200110000	0.0200218000
Mexican peso		0.0377685000	0.0379035000	0.0380461000	0.0381553000
New Zealand dollar		0.4649880000	0.4624960000	0.4629360000	
Norwegian krone		0.0788744000	0.0787147000	0.0785378000	0.0789436000
Omani rial		1.8854600000	1.8891900000	1.8915900000	1.8908300000
Peruvian sol			0.2171580000	0.2181510000	
Philippine peso		0.0142057000	0.0142308000	0.0142212000	0.0141822000
Polish zloty		0.1899090000	0.1892240000	0.1884330000	0.1886950000
Qatari riyal		0.1991640000	0.1995590000	0.1998120000	0.1997320000
Russian ruble		0.0113675000	0.0113724000	0.0113942000	0.0113829000
Saudi Arabian riyal		0.1933220000	0.1937050000	0.1939510000	0.1938730000
Singapore dollar		0.5328610000	0.5330560000	0.5337310000	
South African rand		0.0478203000	0.0489371000	0.0497699000	0.0499719000
Swedish krona		0.0752859000	0.0747335000	0.0747743000	0.0751538000
Swiss franc		0.7341720000	0.7320690000	0.7308230000	0.7302360000
Thai baht		0.0240203000	0.0240313000	0.0240665000	0.0240672000
Trinidadian dollar			0.1077660000	0.1074590000	
U.A.E. dirham		0.1974020000	0.1977930000	0.1980440000	0.1979640000
Uruguayan peso			0.0193804000	0.0194194000	0.0193868000

Currency units per SDR(3)

Currency	November 01, 2019	October 31, 2019	October 30, 2019	October 29, 2019	October 28, 2019
Chinese yuan		9.707890	9.715810	9.707040	9.709960
Euro		1.236680	1.239570	1.239220	1.240620
Japanese yen		150.119000	149.836000	149.825000	149.596000
U.K. pound		1.064390	1.067590	1.069890	1.071950
U.S. dollar	1.380020	1.379390	1.376660	1.374920	1.375470
Algerian dinar		164.761000	164.630000	164.647000	164.677000
Australian dollar		1.991610	2.005620	2.006010	2.018600
