SDRs per Currency unit and Currency units per SDR (1)
last five days
SDRs per Currency unit (2)

Currency	October 25, 2019	October 24, 2019	October 23, 2019	October 22, 2019	October 21, 2019
Chinese yuan	0.1027640000	0.1027730000	0.1026790000	0.1025470000	0.1024770000
Euro	0.8071430000	0.8081010000	0.8082550000	0.8076410000	0.8100600000
Japanese yen	0.0066853500	0.0066861900	0.0067046700		0.0066827900
U.K. pound	0.9325720000	0.9361640000	0.9345830000	0.9402880000	0.9409620000
U.S. dollar	0.7266980000	0.7261870000	0.7266520000	0.7256430000	0.7250160000
Algerian dinar		0.0060746100	0.0060777100	0.0060730100	0.0060709800
Australian dollar		0.4969300000	0.4972480000	0.4989520000	0.4973610000
Botswana pula				0.0668317000	0.0667015000
Brazilian real		0.1811710000	0.1784730000	0.1776270000	0.1754930000
Brunei dollar		0.5331380000	0.5326190000	0.5329730000	0.5322000000
Canadian dollar		0.5554010000	0.5552900000	0.5541800000	0.5536160000
Chilean peso		0.0010000500	0.0010005700	0.0010029300	0.0010215700
Colombian peso		0.0002130020	0.0002118330	0.0002107720	0.0002114590
Czech koruna		0.0315692000	0.0315237000	0.0315854000	0.0316049000
Danish krone		0.1081730000	0.1081910000	0.1081060000	0.1084300000
Indian rupee		0.0102375000	0.0102436000	0.0102386000	
Israeli New Shekel		0.2061270000	0.2053850000	0.2051580000	
Korean won		0.0006187160	0.0006203280	0.0006173580	0.0006141600
Kuwaiti dinar		2.3935000000	2.3950300000	2.3924900000	2.3912100000
Malaysian ringgit		0.1735630000	0.1732600000	0.1734120000	0.1732420000
Mauritian rupee		0.0200088000	0.0200247000	0.0199985000	0.0199630000
Mexican peso		0.0380446000	0.0379933000	0.0379818000	0.0378753000
New Zealand dollar		0.4659940000	0.4657840000	0.4662260000	0.4635750000
Norwegian krone		0.0797193000	0.0794155000	0.0793104000	0.0797001000
Omani rial		1.8886500000	1.8898600000	1.8872400000	1.8856100000
Peruvian sol			0.2173000000	0.2174540000	0.2168760000
Philippine peso		0.0141889000	0.0142057000	0.0141791000	0.0141208000
Polish zloty		0.1888750000	0.1888730000	0.1889300000	0.1892650000
Qatari riyal		0.1995020000	0.1996300000	0.1993520000	0.1991800000
Russian ruble		0.0113715000	0.0113896000	0.0114035000	0.0113709000
Saudi Arabian riyal		0.1936500000	0.1937740000	0.1935050000	0.1933380000
Singapore dollar		0.5331380000	0.5326190000	0.5329730000	0.5322000000
South African rand		0.0494944000	0.0495261000	0.0494788000	0.0491425000
Swedish krona		0.0758396000	0.0752672000	0.0753500000	0.0750713000
Swiss franc		0.7331890000	0.7336580000	0.7340850000	0.7357210000
Thai baht		0.0239824000		0.0239534000	0.0239540000
Trinidadian dollar		0.1075560000	0.1076550000	0.1078190000	0.1074300000
U.A.E. dirham		0.1977360000	0.1978630000	0.1975880000	0.1974180000
Uruguayan peso		0.0194178000	0.0194427000	0.0193981000	0.0193896000

Currency units per SDR(3)

Currency	October 25, 2019	October 24, 2019	October 23, 2019	October 22, 2019	October 21, 2019
Chinese yuan	9.731030	9.730180	9.739090	9.751630	9.758290
Euro	1.238940	1.237470	1.237230	1.238170	1.234480
Japanese yen	149.581000	149.562000	149.150000		149.638000
U.K. pound	1.072300	1.068190	1.070000	1.063500	1.062740
U.S. dollar	1.376090	1.377060	1.376170	1.378090	1.379280
Algerian dinar		164.620000	164.536000	164.663000	164.718000
Australian dollar		2.012360	2.011070	2.004200	2.010610
Botswana pula				14.963000	14.992200
Brazilian real		5.519650	5.603090	5.629770	5.698230
Brunei dollar		1.875690	1.877510	1.876270	1.878990
Canadian dollar		1.800500	1.800860	1.804470	1.806310
Chilean peso		999.950000	999.430000	997.079000	978.885000
Colombian peso		4,694.790000	4,720.700000	4,744.460000	4,729.050000
Czech koruna		31.676400	31.722200	31.660200	31.640700
Danish krone		9.244450	9.242910	9.250180	9.222540
Indian rupee		97.680100	97.621900	97.669600	
Israeli New Shekel		4.851380	4.868900	4.874290	
Korean won		1,616.250000	1,612.050000	1,619.810000	1,628.240000
Kuwaiti dinar		0.417798	0.417531	0.417975	0.418198
Malaysian ringgit		5.761600	5.771670	5.766610	5.772270
Mauritian rupee		49.978000	49.938300	50.003800	50.092700
Mexican peso		26.284900	26.320400	26.328400	26.402400
New Zealand dollar		2.145950	2.146920	2.144880	2.157150
Norwegian krone		12.544000	12.592000	12.608700	12.547000
Omani rial		0.529479	0.529140	0.529874	0.530332
Peruvian sol			4.601930	4.598670	4.610930
Philippine peso		70.477600	70.394300	70.526300	70.817500
Polish zloty		5.294510	5.294560	5.292970	5.283600
Qatari riyal		5.012480	5.009270	5.016250	5.020580
Russian ruble		87.939100	87.799400	87.692400	87.943800
Saudi Arabian riyal		5.163960	5.160650	5.167830	5.172290
Singapore dollar		1.875690	1.877510	1.876270	1.878990
South African rand		20.204300	20.191400	20.210700	20.349000
Swedish krona		13.185700	13.286000	13.271400	13.320700
Swiss franc		1.363900	1.363030	1.362240	1.359210
Thai baht		41.697200		41.747700	41.746700
Trinidadian dollar		9.297480	9.288930	9.274800	9.308390
U.A.E. dirham		5.057250	5.054000	5.061040	5.065390
Uruguayan peso		51.499100	51.433200	51.551400	51.574000


(1) Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.

(2) The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.The value in terms of the SDR of each of the other currencies shown above is derived from that currency's representative exchange rate against the U.S. dollar as reported by the issuing central bank and the SDR value of the U.S. dollar, except for the Iranian rial and the Libyan dinar, the values of which are officially expressed directly in terms of domestic currency units per SDR. All figures are rounded to six significant digits. See Representative Exchange Rates for Selected Currencies".

(3) The value in terms of each national currency of the SDR is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.
